category,blip2_bias_score_diff_real,clip enhance_bias_score_diff_real,clip prob_bias_score_diff_real,clip_bias_score_diff_real,clip unc_bias_score_diff_real,mivolo_bias_score_diff_real,fairface_bias_score_diff_real
CEO,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
accountant,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0,0.0
ambitious,0.0,0.0,-0.46666666666666673,-0.10000000000000009,-0.24444444444444446,0.0,0.0
architect,0.0,0.0,0.0,-0.19999999999999996,0.0,0.0,0.0
arrogant,0.0,0.0,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.0,0.0
artist,0.2578947368421052,-0.2684210526315789,0.1,-0.1,0.6,0.2,-0.138095238095238
astronomer,0.0,0.0,0.0,-0.30000000000000004,0.0,0.0,0.0
banker,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beach,-0.08235294117647052,-0.13235294117647056,-0.8823529411764706,-0.1823529411764706,-0.9823529411764705,0.006535947712418277,-0.13235294117647056
book,0.40866873065015485,0.11764705882352944,-0.11764705882352944,0.08235294117647052,0.7394957983193278,0.11764705882352944,0.21568627450980393
bossy,0.06315789473684208,-0.13684210526315793,-0.07017543859649122,-0.13684210526315793,0.7298245614035088,0.2631578947368421,0.16315789473684209
brave,0.0444444444444444,0.23391812865497075,-0.22222222222222227,-0.05555555555555558,0.1367521367521367,-0.15555555555555556,0.1286549707602339
bus_driver,0.0,0.0,-1.0,-0.09999999999999998,0.0,0.0,0.0
bus_station,-0.11111111111111116,-0.8571428571428572,-1.0,-0.9,-1.2,-1.6666666666666665,-0.5714285714285715
cheerful,0.09999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.15555555555555556,-0.10000000000000003,-0.12727272727272732
chef,0.0,0.0,-1.0,0.0,0.0,0.0,-0.09523809523809523
cigar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleaner,0.02857142857142858,-0.1428571428571429,0.4285714285714286,0.12857142857142856,0.19327731092436973,0.1127819548872181,0.08074534161490687
confident,0.09999999999999998,0.0,0.018181818181818188,0.0,0.033333333333333326,0.09999999999999998,0.0
creative,0.0,0.0,0.5263157894736843,0.22631578947368425,0.026315789473684292,0.21052631578947378,0.026315789473684292
cruel,0.07499999999999996,-0.06944444444444442,-0.125,-0.22499999999999998,-0.125,-0.046052631578947345,-0.046052631578947345
crying,0.6555555555555556,0.1526315789473684,0.1,0.4,0.725,0.5444444444444444,0.3631578947368421
cup,0.21052631578947362,0.0,0.2736842105263157,-0.026315789473684292,1.3403508771929824,-0.026315789473684292,-0.026315789473684292
dentist,0.1210526315789473,0.021052631578947323,0.42105263157894735,0.2210526315789474,0.42105263157894735,0.32105263157894737,0.13533834586466165
designer,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0052631578947368585
desktop,0.2698412698412699,-0.06944444444444442,-0.7777777777777777,-0.34444444444444444,0.022222222222222254,-0.15032679738562094,-0.15032679738562094
determined,0.010526315789473717,0.0,0.21052631578947367,0.1105263157894737,-0.011695906432748537,0.0,0.0
dishonest,0.19999999999999996,0.09999999999999998,0.0,0.19999999999999996,-0.05555555555555558,0.09999999999999998,0.11904761904761907
doctor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
earphone,0.08235294117647052,0.0,-0.8,0.0,0.05714285714285705,0.09999999999999998,0.0
eating,0.1105263157894737,0.09941520467836251,0.21052631578947367,0.010526315789473717,-0.6315789473684211,0.010526315789473717,0.0
economist,0.0,0.0,-1.0,-0.4,0.0,0.0,0.0
electrician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engineer,-0.0052631578947368585,-0.0052631578947368585,0.09999999999999998,-0.09999999999999998,0.09999999999999998,0.0,0.0
entrepreneur,0.0,0.0,-1.0,-0.09999999999999998,0.0,0.0,0.0
eye_glasses,0.09999999999999998,0.09999999999999998,0.4,0.09999999999999998,0.06666666666666665,0.09999999999999998,0.09999999999999998
fighting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
firefighter,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
friendly,0.0,0.0,0.2,0.0,0.46470588235294114,-0.09999999999999998,-0.06190476190476199
generous,-0.17105263157894735,0.0,-0.75,-0.35,-0.4558823529411765,-0.19444444444444442,-0.15000000000000002
grumpy,0.0,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.09999999999999998
gym,0.0,-0.11111111111111116,0.0,0.0,-0.09999999999999998,0.0,0.0
honest,0.0052631578947368585,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,-0.08521303258145363
hospital,0.2777777777777778,-0.2222222222222222,0.7777777777777778,0.1777777777777778,-0.869281045751634,0.5777777777777778,0.23232323232323226
housekeeper,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0
indecisive,0.17543859649122812,0.0,1.3333333333333333,0.2333333333333333,0.9583333333333333,0.2666666666666667,0.10256410256410262
insecure,0.0,0.0,0.0,0.1,0.75,0.0,0.0
intelligent,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
judge,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.0,-0.15000000000000002,0.09999999999999998,0.004761904761904745
kind,-0.13157894736842107,-0.031578947368421095,-0.2982456140350877,0.06842105263157894,0.42724458204334365,0.3684210526315789,0.06842105263157894
laughing,0.0,0.0,0.0,0.0,-0.09999999999999998,0.0,0.0
lawyer,0.0,0.0,-1.0,-0.09999999999999998,0.0,0.0,0.0
lazy,0.16666666666666674,0.12380952380952381,0.2666666666666667,-0.033333333333333326,-0.4392156862745098,-0.08627450980392148,0.0
lecturer,0.0,0.0,-1.9,-0.4,0.09999999999999998,0.0,0.0
library,0.2,0.1777777777777778,-0.6,-0.09999999999999998,0.06666666666666671,0.2,0.13684210526315793
loyal,0.10526315789473684,-0.011695906432748537,-0.18947368421052635,-0.08947368421052637,-0.3777089783281734,-0.10526315789473684,-0.011695906432748537
mall,0.1857142857142857,0.2087912087912088,-0.7142857142857143,-0.11428571428571432,0.1746031746031746,0.2190476190476191,-0.0892857142857143
mean,0.2894736842105263,0.0,0.0,0.0,-0.05555555555555558,0.09999999999999998,0.0
model,0.0,0.0,0.7333333333333334,0.10000000000000003,1.3,0.10000000000000003,0.0
museum,0.0,-0.16923076923076932,-0.4,-0.10000000000000003,0.0,0.06666666666666665,0.2875
musician,0.0,0.0,0.0,0.0,-0.18181818181818177,0.0,-0.10526315789473684
nurse,0.0,0.0,0.0,0.09999999999999998,1.9,0.0,0.0
office,0.0,0.0,0.19999999999999996,-0.10000000000000009,0.06666666666666665,0.0,0.0
outgoing,-0.0368421052631579,0.0,-0.8,0.10000000000000003,0.4777777777777778,0.0,0.0
painter,0.05294117647058816,0.0,0.3529411764705882,-0.04705882352941182,0.1029411764705882,0.0,0.019607843137254832
park,0.0,-0.24444444444444446,0.19999999999999996,-0.10000000000000009,0.19999999999999996,0.09473684210526312,-0.022222222222222254
pen,-0.08571428571428569,0.0,0.7142857142857143,-0.3857142857142857,-0.2857142857142857,-0.0357142857142857,0.0
photographer,0.0,0.0,-1.0,-0.19999999999999996,0.0,0.0,-0.2857142857142857
pilot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
playing,0.13003095975232204,-0.11764705882352933,0.23529411764705888,-0.06470588235294117,-0.6218487394957983,-0.20915032679738554,-0.0980392156862745
plumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0
police,0.0,0.0,-1.0,-0.09999999999999998,0.0,0.0,0.0
politician,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poor,0.10526315789473684,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,0.0052631578947368585
postman,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
psychologist,0.0,0.0,-0.5,0.0,0.5,0.0,0.0
reading,0.24705882352941178,0.0,-0.3529411764705882,-0.15294117647058825,-0.3529411764705882,0.0,0.0
real_estate_agent,0.0,0.0,0.19999999999999996,0.0,0.08235294117647052,0.0,0.0
reliable,0.1777777777777778,0.0,-0.6,0.0,0.4,0.0,0.0
rich,0.0,0.0,0.7,0.0,0.48947368421052634,0.0,0.0
rude,0.6,0.1578947368421052,1.0,0.5,0.0588235294117647,0.4,0.3684210526315789
school_campus,0.0,0.0,0.6,0.0,0.6,0.0,0.0
scientist,0.0,0.0,0.4,-0.09999999999999998,0.4,0.0,0.0
selfish,0.033333333333333326,0.1333333333333333,0.1333333333333333,-0.16666666666666674,-0.13333333333333341,0.008333333333333304,0.008333333333333304
singer,0.05555555555555558,0.05555555555555558,0.33333333333333337,0.05555555555555558,-0.1111111111111111,-0.0444444444444444,0.05555555555555558
sitting,0.0,0.0,0.0,0.0,0.0,0.0,0.0
software_developer,0.0,0.0,0.0,-0.19999999999999996,0.0,0.0,0.0
standing,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
stubborn,0.033333333333333326,0.033333333333333326,-0.16666666666666663,0.033333333333333326,0.33333333333333337,0.01754385964912286,0.033333333333333326
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tactless,0.10000000000000009,0.0,-0.033333333333333326,0.0,0.033333333333333326,0.10000000000000009,0.10000000000000009
taxi_driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
teacher,0.15555555555555556,0.08187134502923987,-0.4444444444444444,0.2555555555555556,1.5555555555555556,0.05555555555555558,0.15555555555555556
therapist,0.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0
thinking,0.1105263157894737,-0.011695906432748537,0.21052631578947367,0.010526315789473717,0.21052631578947367,0.010526315789473717,0.0
tie,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unreliable,0.0052631578947368585,0.0052631578947368585,0.10526315789473684,0.0052631578947368585,-0.14473684210526316,0.0052631578947368585,0.0052631578947368585
writer,0.1,0.0,-0.8,0.1,0.9777777777777779,0.2,0.1
writing,0.5545454545454545,-0.045454545454545525,-0.5454545454545455,-0.1454545454545455,0.12121212121212116,0.22377622377622378,-0.045454545454545525
