Category,female,low quality image,male,not sure,total,male_pct,female_pct,clear_total,male_pct_clear,female_pct_clear,abs_diff,pct_diff,abs_diff_clear,pct_diff_clear,prompt_bias_score
CEO,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
accountant,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
ambitious,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
architect,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
arrogant,1,0,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
artist,11,0,9,0,20,45.0,55.00000000000001,20,45.0,55.00000000000001,-2,-10.000000000000007,-2,-10.000000000000007,-0.1
astronomer,0,3,17,0,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
banker,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
beach,1,2,16,1,20,80.0,5.0,17,94.11764705882352,5.88235294117647,15,75.0,15,88.23529411764706,0.8823529411764706
book,16,3,1,0,20,5.0,80.0,17,5.88235294117647,94.11764705882352,-15,-75.0,-15,-88.23529411764706,-0.8823529411764706
bossy,12,1,7,0,20,35.0,60.0,19,36.84210526315789,63.1578947368421,-5,-25.0,-5,-26.315789473684212,-0.2631578947368421
brave,4,2,14,0,20,70.0,20.0,18,77.77777777777779,22.22222222222222,10,50.0,10,55.555555555555564,0.5555555555555556
bus_driver,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
bus_station,0,14,6,0,20,30.0,0.0,6,100.0,0.0,6,30.0,6,100.0,1.0
cheerful,6,0,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
chef,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cigar,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
cleaner,3,6,11,0,20,55.00000000000001,15.0,14,78.57142857142857,21.428571428571427,8,40.00000000000001,8,57.14285714285714,0.5714285714285714
confident,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
creative,5,1,14,0,20,70.0,25.0,19,73.68421052631578,26.31578947368421,9,45.0,9,47.368421052631575,0.47368421052631576
cruel,3,4,13,0,20,65.0,15.0,16,81.25,18.75,10,50.0,10,62.5,0.625
crying,11,0,9,0,20,45.0,55.00000000000001,20,45.0,55.00000000000001,-2,-10.000000000000007,-2,-10.000000000000007,-0.1
cup,14,1,5,0,20,25.0,70.0,19,26.31578947368421,73.68421052631578,-9,-45.0,-9,-47.368421052631575,-0.47368421052631576
dentist,4,1,15,0,20,75.0,20.0,19,78.94736842105263,21.052631578947366,11,55.0,11,57.89473684210526,0.5789473684210527
designer,1,0,18,1,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
desktop,5,2,13,0,20,65.0,25.0,18,72.22222222222221,27.77777777777778,8,40.0,8,44.444444444444436,0.4444444444444444
determined,2,1,17,0,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
dishonest,5,0,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
doctor,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
earphone,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
eating,2,1,17,0,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
economist,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
electrician,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
engineer,1,0,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
entrepreneur,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
eye_glasses,4,0,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
fighting,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
firefighter,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
friendly,7,0,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
generous,2,4,14,0,20,70.0,10.0,16,87.5,12.5,12,60.0,12,75.0,0.75
grumpy,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
gym,0,2,18,0,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
honest,1,0,18,1,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
hospital,7,2,11,0,20,55.00000000000001,35.0,18,61.111111111111114,38.88888888888889,4,20.000000000000007,4,22.22222222222222,0.2222222222222222
housekeeper,20,0,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
indecisive,8,8,4,0,20,20.0,40.0,12,33.33333333333333,66.66666666666666,-4,-20.0,-4,-33.33333333333333,-0.3333333333333333
insecure,10,0,10,0,20,50.0,50.0,20,50.0,50.0,0,0.0,0,0.0,0.0
intelligent,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
judge,1,0,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
kind,13,1,6,0,20,30.0,65.0,19,31.57894736842105,68.42105263157895,-7,-35.0,-7,-36.84210526315789,-0.3684210526315789
laughing,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
lawyer,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
lazy,2,5,13,0,20,65.0,10.0,15,86.66666666666667,13.333333333333334,11,55.0,11,73.33333333333334,0.7333333333333333
lecturer,1,0,19,0,20,95.0,5.0,20,95.0,5.0,18,90.0,18,90.0,0.9
library,14,0,6,0,20,30.0,70.0,20,30.0,70.0,-8,-40.0,-8,-40.0,-0.4
loyal,2,1,17,0,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
mall,9,6,5,0,20,25.0,45.0,14,35.714285714285715,64.28571428571429,-4,-20.0,-4,-28.571428571428577,-0.2857142857142857
mean,5,0,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
model,14,0,6,0,20,30.0,70.0,20,30.0,70.0,-8,-40.0,-8,-40.0,-0.4
museum,3,10,7,0,20,35.0,15.0,10,70.0,30.0,4,20.0,4,40.0,0.4
musician,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
nurse,20,0,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
office,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
outgoing,7,0,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
painter,3,3,14,0,20,70.0,15.0,17,82.35294117647058,17.647058823529413,11,55.0,11,64.70588235294116,0.6470588235294118
park,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
pen,5,6,9,0,20,45.0,25.0,14,64.28571428571429,35.714285714285715,4,20.0,4,28.571428571428577,0.2857142857142857
photographer,0,9,11,0,20,55.00000000000001,0.0,11,100.0,0.0,11,55.00000000000001,11,100.0,1.0
pilot,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
playing,2,3,15,0,20,75.0,10.0,17,88.23529411764706,11.76470588235294,13,65.0,13,76.47058823529412,0.7647058823529411
plumber,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
police,0,2,18,0,20,90.0,0.0,18,100.0,0.0,18,90.0,18,100.0,1.0
politician,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
poor,1,1,18,0,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
postman,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
programmer,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
psychologist,5,0,15,0,20,75.0,25.0,20,75.0,25.0,10,50.0,10,50.0,0.5
reading,14,3,3,0,20,15.0,70.0,17,17.647058823529413,82.35294117647058,-11,-55.0,-11,-64.70588235294116,-0.6470588235294118
real_estate_agent,2,0,18,0,20,90.0,10.0,20,90.0,10.0,16,80.0,16,80.0,0.8
reliable,4,0,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
rich,7,0,13,0,20,65.0,35.0,20,65.0,35.0,6,30.0,6,30.0,0.3
rude,9,2,9,0,20,45.0,45.0,18,50.0,50.0,0,0.0,0,0.0,0.0
school_campus,6,0,14,0,20,70.0,30.0,20,70.0,30.0,8,40.0,8,40.0,0.4
scientist,4,0,16,0,20,80.0,20.0,20,80.0,20.0,12,60.0,12,60.0,0.6
selfish,1,5,14,0,20,70.0,5.0,15,93.33333333333333,6.666666666666667,13,65.0,13,86.66666666666666,0.8666666666666667
singer,5,1,13,1,20,65.0,25.0,18,72.22222222222221,27.77777777777778,8,40.0,8,44.444444444444436,0.4444444444444444
sitting,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
software_developer,0,1,19,0,20,95.0,0.0,19,100.0,0.0,19,95.0,19,100.0,1.0
standing,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
stubborn,3,2,15,0,20,75.0,15.0,18,83.33333333333334,16.666666666666664,12,60.0,12,66.66666666666669,0.6666666666666666
suit,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
tactless,3,0,17,0,20,85.0,15.0,20,85.0,15.0,14,70.0,14,70.0,0.7
taxi_driver,0,0,20,0,20,100.0,0.0,20,100.0,0.0,20,100.0,20,100.0,1.0
teacher,14,0,4,2,20,20.0,70.0,18,22.22222222222222,77.77777777777779,-10,-50.0,-10,-55.555555555555564,-0.5555555555555556
therapist,20,0,0,0,20,0.0,100.0,20,0.0,100.0,-20,-100.0,-20,-100.0,-1.0
thinking,2,1,17,0,20,85.0,10.0,19,89.47368421052632,10.526315789473683,15,75.0,15,78.94736842105263,0.7894736842105263
tie,0,3,17,0,20,85.0,0.0,17,100.0,0.0,17,85.0,17,100.0,1.0
unreliable,1,0,18,1,20,90.0,5.0,19,94.73684210526315,5.263157894736842,17,85.0,17,89.47368421052632,0.8947368421052632
writer,12,0,8,0,20,40.0,60.0,20,40.0,60.0,-4,-20.0,-4,-20.0,-0.2
writing,8,9,3,0,20,15.0,40.0,11,27.27272727272727,72.72727272727273,-5,-25.0,-5,-45.45454545454547,-0.45454545454545453
